Name,Bequest Number,Type of Recipient,Type of Gift,Gift Amount ($),City of Recipient,State of Recipient,Country of Recipient,Latitude,Longitude
Resin Davis Shepherd,3,Person,Money,10000,Shepherdstown,Virginia,United States of America,38.751904,-77.688027
Aaron Keppell Josephs,3,Person,Money,10000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Gershom Kursheedt,3,Person,Money,10000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Pierre André Destrac Caxenave,3,Person,Money,10000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Dispersed of Judah,6,Synagogue,Property,,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Hebrew Hospital of New Orleans,7,Hospital,Property,,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Hebrew Benevolent Association of New Orleans,8,Charity,Money,5000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Shangarai Chassed,9,Synagogue,Money,5000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Ladies Benevolent Society,10,Charity,Money,5000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Hebrew Foreign Mission Society,11,Charity,Money,5000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Orphan's Home Asylum,12,Charity,Money,5000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Society for the Relief of Destitute Boys in the Fourth District,13,Charity,Money,5000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
St. Anna's Asylum for the Relief of Destitute Females and Children,14,Charity,Money,5000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
New Orleans Female Orphan Asylum,15,Charity,Money,5000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
St. Mary's Catholic Boy's Asylum,16,Charity,Money,5000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Milne Asylum of New Orleans,17,Charity,Money,5000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Firemen's Charitable Association of New Orleans,18,Charity,Money,5000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Seamen's Home,19,Charity,Money,5000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Alms House,20,Charity,Money,80000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
City of Newport,21,City Government,Money,100000,Newport,Rhode Island,United States of America,41.490102,-71.312829
Redwood Library,22,Library,Money,3000,Newport,Rhode Island,United States of America,41.490102,-71.312829
Ohabay Shalome,23,Synagogue,Money,5000,Boston,Massachusetts,United States of America,42.360083,-71.05888
Hebrew Congregation,24,Synagogue,Money,5000,Hartford,Connecticut,United States of America,41.763711,-72.685093
Hebrew Congregation,25,Synagogue,Money,5000,New Haven,Connecticut,United States of America,41.308274,-72.927883
"North American Relief Society for the Indigent Jews of Jerusalem, Palestine",26,Charity,Money,10000,New York City,New York,United States of America,40.712784,-74.005941
Aiding Jews in the Holy Land,27,Charity,Money,50000,London,,United Kingdom,51.507351,-0.127758
Jews' Hospital Society,29,Hospital,Money,20000,New York City,New York,United States of America,40.712784,-74.005941
Hebrew Benevolent Society Meshibat Nafesh,30,Charity,Money,5000,New York City,New York,United States of America,40.712784,-74.005941
Hebrew Benevolent Society Gemilut Chased,31,Charity,Money,5000,New York City,New York,United States of America,40.712784,-74.005941
Talmud Torah School Fund of Shearith Israel Congregation,32,School,Money,13000,New York City,New York,United States of America,40.712784,-74.005941
Educational Institute of B'nai Jeshurun Congregation,33,School,Money,3000,New York City,New York,United States of America,40.712784,-74.005941
Shangrai Tefila Congregation,34,Synagogue,Money,3000,New York City,New York,United States of America,40.712784,-74.005941
Ladies Benevolent Society,35,Charity,Money,3000,New York City,New York,United States of America,40.712784,-74.005941
Female Hebrew Benevolent Society,36,Charity,Money,3000,Philadelphia,Pennsylvania,United States of America,39.952584,-75.165222
Hebrew Education Society,37,School,Money,20000,Philadelphia,Pennsylvania,United States of America,39.952584,-75.165222
United Hebrew Benevolent Society of Philadelphia,38,Charity,Money,3000,Philadelphia,Pennsylvania,United States of America,39.952584,-75.165222
Ahabat Israel Congregation,39,Synagogue,Money,3000,Baltimore,Maryland,United States of America,39.290385,-76.612189
Beth Shalome Congregation,40,Synagogue,Money,3000,Richmond,Virginia,United States of America,37.540725,-77.436048
Shearith Israel Congregation,41,Synagogue,Money,5000,Charleston,South Carolina,United States of America,32.776475,-79.931051
Shangrai Shamoyim Congregation,42,Synagogue,Money,2000,Mobile,Alabama,United States of America,30.695366,-88.039891
Mikve Israel Congregation,43,Synagogue,Money,5000,Savannah,Georgia,United States of America,32.083541,-81.099834
Hebrew Congregation,44,Synagogue,Money,2000,Montgomery,Alabama,United States of America,32.366805,-86.299969
Hebrew Congregation,45,Synagogue,Money,2000,Memphis,Tennessee,United States of America,35.149534,-90.04898
Adas Israel Congregation,46,Synagogue,Money,2000,Louisville,Kentucky,United States of America,38.252665,-85.758456
Bnai Israel Congregation,47,Synagogue,Money,3000,Cincinnati,Ohio,United States of America,39.103118,-84.51202
Talmud Yelodim Hebrew School,48,School,Money,5000,Cincinnati,Ohio,United States of America,39.103118,-84.51202
Jews' Hospital,49,Hospital,Money,5000,Cincinnati,Ohio,United States of America,39.103118,-84.51202
Tifereth Israel Congregation,50,Synagogue,Money,3000,Cleveland,Ohio,United States of America,41.49932,-81.694361
Bnai El Congregation,51,Synagogue,Money,3000,St. Louis,Missouri,United States of America,38.627003,-90.199404
Beth El Congregation,52,Synagogue,Money,3000,Buffalo,New York,United States of America,42.886447,-78.878369
Beth El Congregation,53,Synagogue,Money,3000,Albany,New York,United States of America,42.652579,-73.756232
Asylum of Orphan Boys,54.1,Charity,Money,5000,Boston,Massachusetts,United States of America,42.360083,-71.05888
Female Orphan Asylum,54.2,Charity,Money,5000,Boston,Massachusetts,United States of America,42.360083,-71.05888
Massachusetts General Hospital,54.3,Hospital,Money,10000,Boston,Massachusetts,United States of America,42.360083,-71.05888
"Synagogue of Newport, Rhode Island",55,Synagogue,Money,10000,Newport,Rhode Island,United States of America,41.490102,-71.312829
Catharine Hays,56,Person,Money,5000,Richmond,Virginia,United States of America,37.540725,-77.436048
"Catharine, Harriet, and Julia Myers",57,Person,Money,7000,Richmond,Virginia,United States of America,37.540725,-77.436048
Surviving Children of Samuel Myers,58,Person,Money,7000,Richmond,Virginia,United States of America,37.540725,-77.436048
Supply Clapp Twing,59,Person,Money,5000,Boston,Massachusetts,United States of America,42.360083,-71.05888
Rev. Isaac Leeser,60,Person,Money,3000,Philadelphia,Pennsylvania,United States of America,39.952584,-75.165222
Rev. and Mrs. Moses N. Nathan,61,Person,Money,3000,London,,United Kingdom,51.507351,-0.127758
Rev. Theadore Clapp,62,Person,Money,3000,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Ellen Brooks,63,Person,Money,10000,Boston,Massachusetts,United States of America,42.360083,-71.05888
Mrs. M.D. Josephs,64,Person,Money,2500,New Orleans,Louisiana,United States of America,29.951066,-90.071532
Rebecca Kursheedt,65,Person,Money,2500,New Orleans,Louisiana,United States of America,29.951066,-90.071532
